dataset,config,seed,classifier,accuracy,macro_f1
Lung,NoSelection,0,DT,0.8466,0.6847
Lung,NoSelection,0,RF,0.9063,0.7110
Lung,NoSelection,1,SVM,0.9362,0.8124
Lung,NoSelection,1,KNN,0.9015,0.6948
Lung,NoSelection,1,NB,0.8967,0.7204
Lung,NoSelection,1,DT,0.8521,0.6936
Lung,NoSelection,1,RF,0.9163,0.7170
Lung,NoSelection,2,SVM,0.9406,0.8445
Lung,NoSelection,2,KNN,0.8915,0.6766
Lung,NoSelection,2,NB,0.9065,0.7705
Lung,NoSelection,2,DT,0.8820,0.7667
Lung,NoSelection,2,RF,0.9162,0.7661
Lung,LongDE,0,SVM,0.9652,0.9186
Lung,LongDE,0,KNN,0.9506,0.8993
Lung,LongDE,0,NB,0.9452,0.8477
Lung,LongDE,0,DT,0.8668,0.6918
Lung,LongDE,0,RF,0.9210,0.8097
Lung,LongDE,1,SVM,0.9557,0.9039
Lung,LongDE,1,KNN,0.9506,0.8555
Lung,LongDE,1,NB,0.9607,0.9131
Lung,LongDE,1,DT,0.8423,0.6847
Lung,LongDE,1,RF,0.9261,0.8211
Lung,LongDE,2,SVM,0.9606,0.9158
Lung,LongDE,2,KNN,0.9555,0.9010
Lung,LongDE,2,NB,0.9656,0.9259
Lung,LongDE,2,DT,0.8621,0.7594
Lung,LongDE,2,RF,0.9359,0.8309
Lung,ShortDE,0,SVM,0.9555,0.9058
Lung,ShortDE,0,KNN,0.9555,0.9044
Lung,ShortDE,0,NB,0.9354,0.8362
Lung,ShortDE,0,DT,0.8477,0.7069
Lung,ShortDE,0,RF,0.9111,0.7874
Lung,ShortDE,1,SVM,0.9607,0.9122
Lung,ShortDE,1,KNN,0.9507,0.8644
Lung,ShortDE,1,NB,0.9607,0.9131
Lung,ShortDE,1,DT,0.8670,0.7219
Lung,ShortDE,1,RF,0.9213,0.7806
Lung,ShortDE,2,SVM,0.9606,0.9146
Lung,ShortDE,2,KNN,0.9654,0.9179
Lung,ShortDE,2,NB,0.9557,0.9206
Lung,ShortDE,2,DT,0.8427,0.6922
Lung,ShortDE,2,RF,0.9261,0.8240
Lung,ShortDE_HC,0,SVM,0.9555,0.9058
Lung,ShortDE_HC,0,KNN,0.9555,0.9044
Lung,ShortDE_HC,0,NB,0.9354,0.8362
Lung,ShortDE_HC,0,DT,0.8526,0.7145
Lung,ShortDE_HC,0,RF,0.9111,0.7874
Lung,ShortDE_HC,1,SVM,0.9607,0.9122
Lung,ShortDE_HC,1,KNN,0.9557,0.8727
Lung,ShortDE_HC,1,NB,0.9607,0.9131
Lung,ShortDE_HC,1,DT,0.8671,0.6889
Lung,ShortDE_HC,1,RF,0.9311,0.8294
Lung,ShortDE_HC,2,SVM,0.9606,0.9146
Lung,ShortDE_HC,2,KNN,0.9654,0.9179
Lung,ShortDE_HC,2,NB,0.9557,0.9206
Lung,ShortDE_HC,2,DT,0.8477,0.6979
Lung,ShortDE_HC,2,RF,0.9311,0.8323
Lung,FilterHC,0,SVM,0.9604,0.9079
Lung,FilterHC,0,KNN,0.9555,0.9044
Lung,FilterHC,0,NB,0.9454,0.8467
Lung,FilterHC,0,DT,0.7880,0.6135
Lung,FilterHC,0,RF,0.9259,0.7818
Lung,FilterHC,1,SVM,0.9606,0.9122
Lung,FilterHC,1,KNN,0.9557,0.9051
Lung,FilterHC,1,NB,0.9559,0.8675
Lung,FilterHC,1,DT,0.8818,0.7619
Lung,FilterHC,1,RF,0.9460,0.8885
Lung,FilterHC,2,SVM,0.9556,0.9075
Lung,FilterHC,2,KNN,0.9654,0.9214
Lung,FilterHC,2,NB,0.9509,0.8876
Lung,FilterHC,2,DT,0.8374,0.6204
Lung,FilterHC,2,RF,0.9407,0.8715
Breast,NoSelection,0,SVM,0.7115,0.7079
Breast,NoSelection,0,KNN,0.5259,0.4869
Breast,NoSelection,0,NB,0.6389,0.6136
Breast,NoSelection,0,DT,0.5249,0.5159
Breast,NoSelection,0,RF,0.7008,0.6897
Breast,NoSelection,1,SVM,0.6695,0.6643
Breast,NoSelection,1,KNN,0.5559,0.5302
Breast,NoSelection,1,NB,0.5666,0.5119
Breast,NoSelection,1,DT,0.4429,0.4285
Breast,NoSelection,1,RF,0.6285,0.6214
Breast,NoSelection,2,SVM,0.6487,0.6416
Breast,NoSelection,2,KNN,0.5366,0.5088
Breast,NoSelection,2,NB,0.5874,0.5510
Breast,NoSelection,2,DT,0.5256,0.5182
